,District 1,District 2
0,101,357
1,101,565
2,101,577
3,101,616
4,101,690
5,102,178
6,102,182
7,102,257
8,102,277
9,102,278
10,102,287
11,102,324
12,102,472
13,102,483
14,103,121
15,103,180
16,103,194
17,103,292
18,103,399
19,103,476
20,103,661
21,104,134
22,104,195
23,104,505
24,104,517
25,104,553
26,104,643
27,104,668
28,105,207
29,105,411
30,105,452
31,105,466
32,105,612
33,105,596
34,106,181
35,106,338
36,106,494
37,106,523
38,106,569
39,106,683
40,107,117
41,107,199
42,107,714
43,108,275
44,108,414
45,108,421
46,108,534
47,109,196
48,109,198
49,109,298
50,109,324
51,109,388
52,109,472
53,109,524
54,109,601
55,110,227
56,110,346
57,111,164
58,111,218
59,111,231
60,111,253
61,111,355
62,111,501
63,112,138
64,112,205
65,112,206
66,112,496
67,112,538
68,112,543
69,113,178
70,113,241
71,113,338
72,113,459
73,113,516
74,113,582
75,114,430
76,114,525
77,114,536
78,114,588
79,114,635
80,114,728
81,115,135
82,115,136
83,115,166
84,115,309
85,115,604
86,115,656
87,116,135
88,116,157
89,116,546
90,116,559
91,116,656
92,117,107
93,117,173
94,117,199
95,117,201
96,117,217
97,117,396
98,117,495
99,117,713
100,117,714
101,117,730
102,118,180
103,118,194
104,118,302
105,118,364
106,118,566
107,119,313
108,119,381
109,119,664
110,120,188
111,120,198
112,120,319
113,120,475
114,120,481
115,120,601
116,121,103
117,121,179
118,121,399
119,121,702
120,122,144
121,122,219
122,122,221
123,122,223
124,122,429
125,122,685
126,122,726
127,123,263
128,123,291
129,123,384
130,123,406
131,123,426
132,123,551
133,123,572
134,123,625
135,123,653
136,124,168
137,124,229
138,124,245
139,124,256
140,124,394
141,124,508
142,124,600
143,124,654
144,124,657
145,125,211
146,125,444
147,126,191
148,126,261
149,126,419
150,126,485
151,126,613
152,126,691
153,126,297
154,127,405
155,127,453
156,127,557
157,127,658
158,128,265
159,128,292
160,128,399
161,128,460
162,128,590
163,128,686
164,129,228
165,129,539
166,129,669
167,129,678
168,130,133
169,130,184
170,130,299
171,130,354
172,130,537
173,130,585
174,131,311
175,131,437
176,131,591
177,131,624
178,131,707
179,132,278
180,132,342
181,132,376
182,132,378
183,133,130
184,133,299
185,133,521
186,133,585
187,134,104
188,134,195
189,134,343
190,134,344
191,134,505
192,135,115
193,135,116
194,135,157
195,135,166
196,135,306
197,135,656
198,136,115
199,136,301
200,136,309
201,136,353
202,136,473
203,136,656
204,137,170
205,137,288
206,137,416
207,137,560
208,137,708
209,138,112
210,138,205
211,138,543
212,139,300
213,139,475
214,139,488
215,139,527
216,139,617
217,139,645
218,139,244
219,140,157
220,140,306
221,140,626
222,140,639
223,141,177
224,141,307
225,141,365
226,141,468
227,141,495
228,141,567
229,141,611
230,142,161
231,142,168
232,142,369
233,142,374
234,142,515
235,142,654
236,143,175
237,143,359
238,143,394
239,143,474
240,143,532
241,143,555
242,144,122
243,144,221
244,144,242
245,144,288
246,144,325
247,144,416
248,144,429
249,144,560
250,145,184
251,145,202
252,145,247
253,145,301
254,145,473
255,145,606
256,145,641
257,146,251
258,146,266
259,146,567
260,146,698
261,147,150
262,147,191
263,147,351
264,147,457
265,147,485
266,147,562
267,147,563
268,148,306
269,148,626
270,148,628
271,149,295
272,149,310
273,149,352
274,149,438
275,149,633
276,149,644
277,149,659
278,149,662
279,150,147
280,150,266
281,150,365
282,150,485
283,150,563
284,150,567
285,151,345
286,151,433
287,151,476
288,151,533
289,151,590
290,151,636
291,152,216
292,152,222
293,152,284
294,152,317
295,152,461
296,152,528
297,152,608
298,153,158
299,153,291
300,153,384
301,153,428
302,153,653
303,154,176
304,154,246
305,154,264
306,154,304
307,154,350
308,154,486
309,155,330
310,155,359
311,155,531
312,155,532
313,155,554
314,155,558
315,156,231
316,156,265
317,156,355
318,156,460
319,156,547
320,156,577
321,157,116
322,157,135
323,157,140
324,157,306
325,157,450
326,157,559
327,157,639
328,158,153
329,158,197
330,158,428
331,158,552
332,158,653
333,159,311
334,159,357
335,159,420
336,159,620
337,159,624
338,160,196
339,160,542
340,160,574
341,160,615
342,160,687
343,161,142
344,161,360
345,161,457
346,161,515
347,161,562
348,161,600
349,161,654
350,162,339
351,162,345
352,162,363
353,162,433
354,162,523
355,163,167
356,163,451
357,163,471
358,163,478
359,163,603
360,164,111
361,164,253
362,164,258
363,164,343
364,164,397
365,164,501
366,165,232
367,165,415
368,165,417
369,165,465
370,165,491
371,165,655
372,166,115
373,166,135
374,166,306
375,166,604
376,166,628
377,167,163
378,167,280
379,167,471
380,167,478
381,167,637
382,167,651
383,168,124
384,168,142
385,168,374
386,168,508
387,168,654
388,169,395
389,169,436
390,169,486
391,169,537
392,169,598
393,170,137
394,170,255
395,170,288
396,170,412
397,170,602
398,170,632
399,170,700
400,170,708
401,171,172
402,171,219
403,171,410
404,171,425
405,171,570
406,171,685
407,172,171
408,172,425
409,172,570
410,173,117
411,173,217
412,173,320
413,173,331
414,173,396
415,174,353
416,174,477
417,174,548
418,174,705
419,175,143
420,175,340
421,175,393
422,175,394
423,176,154
424,176,304
425,176,390
426,176,395
427,176,453
428,176,486
429,176,557
430,176,594
431,177,141
432,177,210
433,177,289
434,177,307
435,177,495
436,178,102
437,178,113
438,178,241
439,178,257
440,178,383
441,178,472
442,178,516
443,179,121
444,179,503
445,179,660
446,179,702
447,180,103
448,180,118
449,180,194
450,181,106
451,181,200
452,181,224
453,181,509
454,181,569
455,181,683
456,182,102
457,182,240
458,182,278
459,182,315
460,182,342
461,182,358
462,182,483
463,183,212
464,183,225
465,183,318
466,183,328
467,183,361
468,183,459
469,183,584
470,184,130
471,184,145
472,184,202
473,184,537
474,184,585
475,184,606
476,185,311
477,185,564
478,185,565
479,185,610
480,185,707
481,186,368
482,186,439
483,186,500
484,186,517
485,187,232
486,187,289
487,187,502
488,187,655
489,188,120
490,188,322
491,188,475
492,188,481
493,188,488
494,188,496
495,188,538
496,188,687
497,189,225
498,189,293
499,189,318
500,189,339
501,189,363
502,189,494
503,190,316
504,190,467
505,190,587
506,190,642
507,190,692
508,190,297
509,191,126
510,191,147
511,191,351
512,191,418
513,191,419
514,191,485
515,192,264
516,192,349
517,192,487
518,192,519
519,192,531
520,192,554
521,193,252
522,193,303
523,193,326
524,193,558
525,193,573
526,194,103
527,194,118
528,194,180
529,194,566
530,194,661
531,195,104
532,195,134
533,195,344
534,195,439
535,195,517
536,195,530
537,196,109
538,196,160
539,196,281
540,196,388
541,196,481
542,196,574
543,196,601
544,196,615
545,197,158
546,197,426
547,197,551
548,197,552
549,197,625
550,197,653
551,198,109
552,198,120
553,198,298
554,198,319
555,198,601
556,199,107
557,199,117
558,199,201
559,199,343
560,199,344
561,199,530
562,199,714
563,200,181
564,200,224
565,200,420
566,200,609
567,200,683
568,201,117
569,201,199
570,201,343
571,201,396
572,201,397
573,202,145
574,202,184
575,202,301
576,202,585
577,203,254
578,203,276
579,203,425
580,203,470
581,203,490
582,203,510
583,203,570
584,203,597
585,203,715
586,204,263
587,204,375
588,204,389
589,204,406
590,204,434
591,204,535
592,205,112
593,205,138
594,205,538
595,205,543
596,205,586
597,205,701
598,206,112
599,206,496
600,206,543
601,206,687
602,207,105
603,207,612
604,207,398
605,207,596
606,208,301
607,208,477
608,208,644
609,208,705
610,209,525
611,209,588
612,210,177
613,210,289
614,210,495
615,210,713
616,210,730
617,211,125
618,211,444
619,211,499
620,211,677
621,212,183
622,212,356
623,212,459
624,212,584
625,213,299
626,213,326
627,213,438
628,213,521
629,213,575
630,215,373
631,215,671
632,216,152
633,216,236
634,216,358
635,216,437
636,216,461
637,216,528
638,216,591
639,216,676
640,217,117
641,217,173
642,217,331
643,217,495
644,217,504
645,217,611
646,218,111
647,218,231
648,218,501
649,218,503
650,218,526
651,218,702
652,219,122
653,219,171
654,219,223
655,219,410
656,219,685
657,220,221
658,220,234
659,220,242
660,220,323
661,220,623
662,220,685
663,220,689
664,221,122
665,221,144
666,221,220
667,221,242
668,221,685
669,222,152
670,222,284
671,222,392
672,222,548
673,222,581
674,222,608
675,223,122
676,223,219
677,223,410
678,223,425
679,223,589
680,223,671
681,223,706
682,223,726
683,223,680
684,224,181
685,224,200
686,224,420
687,224,469
688,224,509
689,224,547
690,224,569
691,224,686
692,225,183
693,225,189
694,225,318
695,225,361
696,225,494
697,225,630
698,226,275
699,226,276
700,226,334
701,226,510
702,226,520
703,226,675
704,226,681
705,227,110
706,227,346
707,228,129
708,228,371
709,228,493
710,228,539
711,228,549
712,228,669
713,228,709
714,229,124
715,229,256
716,229,337
717,229,340
718,229,393
719,229,400
720,229,508
721,229,556
722,230,522
723,230,704
724,231,111
725,231,156
726,231,218
727,231,355
728,231,460
729,231,526
730,232,165
731,232,187
732,232,415
733,232,502
734,232,655
735,233,464
736,233,699
737,234,220
738,234,323
739,234,387
740,234,407
741,234,689
742,235,704
743,236,216
744,236,336
745,236,391
746,236,504
747,236,528
748,236,591
749,237,258
750,237,505
751,237,663
752,238,454
753,238,489
754,238,593
755,238,598
756,238,638
757,239,346
758,239,370
759,239,405
760,239,699
761,240,182
762,240,315
763,240,358
764,240,437
765,240,624
766,241,113
767,241,178
768,241,338
769,241,383
770,241,609
771,241,683
772,242,144
773,242,220
774,242,221
775,242,325
776,242,623
777,243,322
778,243,538
779,243,592
780,243,622
781,243,635
782,243,666
783,243,701
784,244,139
785,244,279
786,244,298
787,244,300
788,244,314
789,244,356
790,244,645
791,245,124
792,245,600
793,245,657
794,246,154
795,246,264
796,246,303
797,246,349
798,246,350
799,247,145
800,247,308
801,247,309
802,247,432
803,247,473
804,247,641
805,248,348
806,248,544
807,249,320
808,249,335
809,249,396
810,249,397
811,249,610
812,249,616
813,249,690
814,250,305
815,250,401
816,250,514
817,250,694
818,251,146
819,251,266
820,251,296
821,251,415
822,251,491
823,251,563
824,251,698
825,252,193
826,252,303
827,252,349
828,252,531
829,252,558
830,253,111
831,253,164
832,253,335
833,253,355
834,253,397
835,253,577
836,253,690
837,254,203
838,254,276
839,254,371
840,254,425
841,254,597
842,254,682
843,255,170
844,255,288
845,255,325
846,255,700
847,256,124
848,256,229
849,256,340
850,256,394
851,257,102
852,257,178
853,257,383
854,257,483
855,258,164
856,258,237
857,258,343
858,258,501
859,258,505
860,258,663
861,259,409
862,259,540
863,260,334
864,260,386
865,260,455
866,260,670
867,260,678
868,260,681
869,261,126
870,261,336
871,261,365
872,261,468
873,261,485
874,261,691
875,262,302
876,263,123
877,263,204
878,263,389
879,263,406
880,263,572
881,263,688
882,264,154
883,264,192
884,264,246
885,264,304
886,264,349
887,264,519
888,265,128
889,265,156
890,265,460
891,265,547
892,265,686
893,266,146
894,266,150
895,266,251
896,266,563
897,266,567
898,267,308
899,267,489
900,267,619
901,267,638
902,267,716
903,268,513
904,268,647
905,268,717
906,268,721
907,269,465
908,269,655
909,269,711
910,269,718
911,269,729
912,270,719
913,271,431
914,271,518
915,271,529
916,271,665
917,271,720
918,272,583
919,272,650
920,272,719
921,272,721
922,273,447
923,273,448
924,273,627
925,273,696
926,274,359
927,274,474
928,274,558
929,274,605
930,275,108
931,275,226
932,275,334
933,275,421
934,275,675
935,276,203
936,276,226
937,276,254
938,276,386
939,276,498
940,276,510
941,276,597
942,276,681
943,277,102
944,277,281
945,277,287
946,277,324
947,277,388
948,277,462
949,278,102
950,278,132
951,278,182
952,278,287
953,278,342
954,278,376
955,278,462
956,279,298
957,279,314
958,279,524
959,279,244
960,280,167
961,280,286
962,280,478
963,280,651
964,281,196
965,281,277
966,281,321
967,281,376
968,281,388
969,281,462
970,281,615
971,282,318
972,282,328
973,282,362
974,282,471
975,282,603
976,282,637
977,283,451
978,283,536
979,283,587
980,283,588
981,283,603
982,284,152
983,284,222
984,284,317
985,284,379
986,284,392
987,284,546
988,284,559
989,284,693
990,285,286
991,285,293
992,285,318
993,285,651
994,286,280
995,286,285
996,286,341
997,286,381
998,286,478
999,286,651
1000,286,664
1001,287,102
1002,287,277
1003,287,278
1004,287,462
1005,288,137
1006,288,144
1007,288,170
1008,288,255
1009,288,325
1010,288,416
1011,289,177
1012,289,187
1013,289,210
1014,289,307
1015,289,502
1016,289,567
1017,289,698
1018,290,294
1019,290,374
1020,290,579
1021,290,652
1022,291,123
1023,291,153
1024,291,384
1025,291,653
1026,292,103
1027,292,128
1028,292,399
1029,292,476
1030,292,590
1031,293,189
1032,293,285
1033,293,318
1034,294,290
1035,294,374
1036,294,400
1037,294,508
1038,294,556
1039,294,652
1040,295,149
1041,295,438
1042,295,521
1043,295,585
1044,295,644
1045,296,251
1046,296,369
1047,296,457
1048,296,491
1049,296,515
1050,296,563
1051,297,126
1052,297,190
1053,297,418
1054,297,419
1055,297,485
1056,298,109
1057,298,198
1058,298,279
1059,298,300
1060,298,319
1061,298,524
1062,298,244
1063,299,130
1064,299,133
1065,299,213
1066,299,326
1067,299,354
1068,299,408
1069,299,497
1070,299,507
1071,299,521
1072,300,139
1073,300,298
1074,300,319
1075,300,475
1076,300,244
1077,301,136
1078,301,145
1079,301,202
1080,301,208
1081,301,353
1082,301,473
1083,301,705
1084,302,118
1085,302,262
1086,302,364
1087,303,193
1088,303,246
1089,303,252
1090,303,326
1091,303,349
1092,303,350
1093,303,408
1094,303,507
1095,304,154
1096,304,176
1097,304,264
1098,304,519
1099,304,594
1100,305,250
1101,305,401
1102,305,634
1103,305,648
1104,306,135
1105,306,140
1106,306,148
1107,306,157
1108,306,166
1109,306,626
1110,306,628
1111,307,141
1112,307,177
1113,307,289
1114,307,567
1115,308,247
1116,308,267
1117,308,432
1118,308,489
1119,308,606
1120,308,641
1121,308,716
1122,309,115
1123,309,136
1124,309,247
1125,309,432
1126,309,456
1127,309,473
1128,309,604
1129,309,628
1130,310,149
1131,310,352
1132,310,402
1133,310,438
1134,310,443
1135,310,575
1136,310,631
1137,311,131
1138,311,159
1139,311,185
1140,311,357
1141,311,565
1142,311,624
1143,311,707
1144,312,424
1145,312,545
1146,313,119
1147,313,332
1148,313,375
1149,313,381
1150,313,535
1151,314,279
1152,314,356
1153,314,516
1154,314,524
1155,314,582
1156,314,244
1157,315,182
1158,315,240
1159,315,483
1160,315,624
1161,316,190
1162,316,375
1163,316,467
1164,316,692
1165,317,152
1166,317,284
1167,317,342
1168,317,358
1169,317,378
1170,317,379
1171,317,461
1172,318,183
1173,318,189
1174,318,225
1175,318,282
1176,318,285
1177,318,293
1178,318,328
1179,318,637
1180,318,651
1181,319,120
1182,319,198
1183,319,298
1184,319,300
1185,319,475
1186,320,173
1187,320,249
1188,320,331
1189,320,396
1190,320,610
1191,321,281
1192,321,376
1193,321,379
1194,321,450
1195,321,615
1196,321,639
1197,321,693
1198,322,188
1199,322,243
1200,322,488
1201,322,538
1202,322,592
1203,323,220
1204,323,234
1205,323,407
1206,323,470
1207,323,490
1208,323,685
1209,324,102
1210,324,109
1211,324,277
1212,324,388
1213,324,472
1214,325,144
1215,325,242
1216,325,255
1217,325,288
1218,325,623
1219,325,700
1220,326,193
1221,326,213
1222,326,299
1223,326,303
1224,326,408
1225,326,573
1226,326,575
1227,327,500
1228,327,530
1229,327,714
1230,327,730
1231,328,183
1232,328,282
1233,328,318
1234,328,362
1235,328,584
1236,329,452
1237,329,612
1238,330,155
1239,330,333
1240,330,492
1241,330,512
1242,330,532
1243,330,554
1244,331,173
1245,331,217
1246,331,320
1247,331,504
1248,331,564
1249,331,610
1250,332,313
1251,332,341
1252,332,375
1253,332,381
1254,332,587
1255,332,614
1256,332,692
1257,333,330
1258,333,413
1259,333,512
1260,333,532
1261,333,555
1262,333,646
1263,334,226
1264,334,260
1265,334,275
1266,334,421
1267,334,534
1268,334,670
1269,334,679
1270,334,681
1271,334,710
1272,335,249
1273,335,253
1274,335,397
1275,335,690
1276,336,236
1277,336,261
1278,336,391
1279,336,468
1280,336,504
1281,336,611
1282,336,691
1283,337,229
1284,337,393
1285,337,556
1286,338,106
1287,338,113
1288,338,241
1289,338,459
1290,338,494
1291,338,630
1292,338,683
1293,339,162
1294,339,189
1295,339,363
1296,340,175
1297,340,229
1298,340,256
1299,340,393
1300,340,394
1301,341,286
1302,341,332
1303,341,381
1304,341,451
1305,341,478
1306,341,614
1307,342,132
1308,342,182
1309,342,278
1310,342,317
1311,342,358
1312,342,378
1313,343,134
1314,343,164
1315,343,199
1316,343,201
1317,343,258
1318,343,344
1319,343,397
1320,343,505
1321,344,134
1322,344,195
1323,344,199
1324,344,343
1325,344,530
1326,345,151
1327,345,162
1328,345,433
1329,345,523
1330,345,636
1331,346,110
1332,346,227
1333,346,239
1334,346,370
1335,347,568
1336,347,580
1337,347,599
1338,347,688
1339,348,248
1340,348,482
1341,348,544
1342,348,566
1343,349,192
1344,349,246
1345,349,252
1346,349,264
1347,349,303
1348,349,531
1349,350,154
1350,350,246
1351,350,303
1352,350,436
1353,350,486
1354,350,507
1355,350,618
1356,351,147
1357,351,191
1358,351,418
1359,351,562
1360,352,149
1361,352,310
1362,352,562
1363,352,631
1364,352,657
1365,352,662
1366,353,136
1367,353,174
1368,353,301
1369,353,546
1370,353,548
1371,353,656
1372,353,705
1373,354,130
1374,354,299
1375,354,497
1376,354,537
1377,355,111
1378,355,156
1379,355,231
1380,355,253
1381,355,577
1382,356,212
1383,356,314
1384,356,459
1385,356,582
1386,356,584
1387,356,645
1388,356,244
1389,357,101
1390,357,159
1391,357,311
1392,357,420
1393,357,469
1394,357,565
1395,357,577
1396,358,182
1397,358,216
1398,358,240
1399,358,317
1400,358,342
1401,358,437
1402,358,461
1403,358,511
1404,358,624
1405,358,676
1406,359,143
1407,359,155
1408,359,274
1409,359,474
1410,359,532
1411,359,558
1412,360,161
1413,360,562
1414,360,600
1415,360,657
1416,361,183
1417,361,225
1418,361,459
1419,361,630
1420,362,282
1421,362,328
1422,362,367
1423,362,385
1424,362,527
1425,362,536
1426,362,584
1427,362,603
1428,362,645
1429,363,162
1430,363,189
1431,363,339
1432,363,494
1433,363,523
1434,364,118
1435,364,302
1436,364,544
1437,364,566
1438,365,141
1439,365,150
1440,365,261
1441,365,468
1442,365,485
1443,365,567
1444,366,506
1445,366,513
1446,366,583
1447,366,721
1448,367,362
1449,367,385
1450,367,430
1451,367,536
1452,368,186
1453,368,517
1454,368,643
1455,368,708
1456,368,727
1457,369,142
1458,369,296
1459,369,374
1460,369,417
1461,369,491
1462,369,515
1463,369,579
1464,370,239
1465,370,346
1466,371,228
1467,371,254
1468,371,539
1469,371,597
1470,371,682
1471,371,709
1472,372,423
1473,372,435
1474,372,448
1475,372,449
1476,372,529
1477,372,697
1478,373,215
1479,373,671
1480,373,682
1481,373,709
1482,373,576
1483,374,142
1484,374,168
1485,374,290
1486,374,294
1487,374,369
1488,374,508
1489,374,579
1490,375,204
1491,375,313
1492,375,316
1493,375,332
1494,375,427
1495,375,434
1496,375,467
1497,375,535
1498,375,692
1499,376,132
1500,376,278
1501,376,281
1502,376,321
1503,376,378
1504,376,379
1505,376,462
1506,377,387
1507,377,407
1508,377,422
1509,377,458
1510,377,715
1511,378,132
1512,378,317
1513,378,342
1514,378,376
1515,378,379
1516,379,284
1517,379,317
1518,379,321
1519,379,376
1520,379,378
1521,379,693
1522,380,672
1523,380,679
1524,381,119
1525,381,286
1526,381,313
1527,381,332
1528,381,341
1529,381,614
1530,381,664
1531,382,493
1532,382,673
1533,383,178
1534,383,241
1535,383,257
1536,383,483
1537,383,609
1538,383,620
1539,384,123
1540,384,153
1541,384,291
1542,384,406
1543,384,434
1544,384,441
1545,385,362
1546,385,367
1547,385,430
1548,385,527
1549,385,592
1550,385,617
1551,385,728
1552,386,260
1553,386,276
1554,386,498
1555,386,678
1556,386,681
1557,387,234
1558,387,377
1559,387,407
1560,388,109
1561,388,196
1562,388,277
1563,388,281
1564,388,324
1565,389,204
1566,389,263
1567,389,535
1568,389,599
1569,389,688
1570,390,176
1571,390,464
1572,390,557
1573,390,594
1574,390,699
1575,391,236
1576,391,336
1577,391,528
1578,391,608
1579,391,691
1580,392,222
1581,392,284
1582,392,546
1583,392,548
1584,392,559
1585,393,175
1586,393,229
1587,393,337
1588,393,340
1589,394,124
1590,394,143
1591,394,175
1592,394,256
1593,394,340
1594,394,474
1595,394,657
1596,394,723
1597,395,169
1598,395,176
1599,395,453
1600,395,486
1601,395,593
1602,395,598
1603,396,117
1604,396,173
1605,396,201
1606,396,249
1607,396,320
1608,396,397
1609,397,164
1610,397,201
1611,397,249
1612,397,253
1613,397,335
1614,397,343
1615,397,396
1616,398,207
1617,398,596
1618,398,612
1619,398,596
1620,399,103
1621,399,121
1622,399,128
1623,399,292
1624,399,460
1625,399,526
1626,399,702
1627,400,229
1628,400,294
1629,400,508
1630,400,556
1631,401,250
1632,401,305
1633,401,634
1634,401,724
1635,402,310
1636,402,575
1637,402,605
1638,402,631
1639,402,723
1640,403,427
1641,403,434
1642,403,622
1643,403,701
1644,404,541
1645,404,684
1646,404,731
1647,405,127
1648,405,239
1649,405,557
1650,405,699
1651,406,123
1652,406,204
1653,406,263
1654,406,384
1655,406,434
1656,407,234
1657,407,323
1658,407,377
1659,407,387
1660,407,490
1661,407,715
1662,408,299
1663,408,303
1664,408,326
1665,408,507
1666,409,259
1667,409,540
1668,409,541
1669,409,725
1670,409,731
1671,410,171
1672,410,219
1673,410,223
1674,410,425
1675,411,105
1676,411,466
1677,412,170
1678,412,578
1679,412,602
1680,412,632
1681,413,333
1682,413,512
1683,413,646
1684,414,108
1685,414,534
1686,414,672
1687,414,667
1688,415,165
1689,415,232
1690,415,251
1691,415,491
1692,415,502
1693,415,698
1694,416,137
1695,416,144
1696,416,288
1697,416,560
1698,417,165
1699,417,369
1700,417,465
1701,417,491
1702,417,579
1703,417,711
1704,417,712
1705,418,191
1706,418,351
1707,418,419
1708,418,562
1709,418,659
1710,418,662
1711,418,297
1712,419,126
1713,419,191
1714,419,418
1715,419,613
1716,419,629
1717,419,633
1718,419,659
1719,419,297
1720,420,159
1721,420,200
1722,420,224
1723,420,357
1724,420,469
1725,420,609
1726,420,620
1727,421,108
1728,421,275
1729,421,334
1730,421,534
1731,422,377
1732,422,458
1733,422,463
1734,422,715
1735,423,372
1736,423,431
1737,423,449
1738,423,529
1739,423,697
1740,424,312
1741,424,718
1742,425,171
1743,425,172
1744,425,203
1745,425,223
1746,425,254
1747,425,410
1748,425,570
1749,425,682
1750,425,680
1751,426,123
1752,426,197
1753,426,552
1754,426,568
1755,426,572
1756,426,580
1757,426,625
1758,427,375
1759,427,403
1760,427,434
1761,427,467
1762,427,622
1763,428,153
1764,428,158
1765,429,122
1766,429,144
1767,429,545
1768,429,560
1769,429,726
1770,430,114
1771,430,367
1772,430,385
1773,430,536
1774,430,728
1775,431,271
1776,431,423
1777,431,529
1778,431,697
1779,432,247
1780,432,308
1781,432,309
1782,432,456
1783,432,716
1784,433,151
1785,433,162
1786,433,345
1787,433,482
1788,433,533
1789,433,661
1790,434,204
1791,434,375
1792,434,384
1793,434,403
1794,434,406
1795,434,427
1796,434,441
1797,435,372
1798,435,529
1799,436,169
1800,436,350
1801,436,486
1802,436,497
1803,436,537
1804,436,618
1805,437,131
1806,437,216
1807,437,240
1808,437,358
1809,437,511
1810,437,591
1811,437,624
1812,437,676
1813,438,149
1814,438,213
1815,438,295
1816,438,310
1817,438,443
1818,438,521
1819,438,575
1820,439,186
1821,439,195
1822,439,500
1823,439,517
1824,439,530
1825,440,452
1826,440,595
1827,441,384
1828,441,434
1829,442,448
1830,442,697
1831,442,722
1832,443,310
1833,443,438
1834,443,575
1835,444,125
1836,444,211
1837,444,447
1838,444,499
1839,445,480
1840,445,677
1841,446,479
1842,446,480
1843,446,684
1844,447,273
1845,447,444
1846,447,695
1847,447,696
1848,448,273
1849,448,372
1850,448,442
1851,448,627
1852,448,697
1853,448,722
1854,449,372
1855,449,423
1856,449,529
1857,450,157
1858,450,321
1859,450,559
1860,450,639
1861,450,693
1862,451,163
1863,451,283
1864,451,341
1865,451,478
1866,451,587
1867,451,603
1868,451,614
1869,452,105
1870,452,440
1871,452,466
1872,452,612
1873,452,329
1874,453,127
1875,453,176
1876,453,395
1877,453,557
1878,453,593
1879,453,658
1880,454,238
1881,454,593
1882,454,638
1883,454,658
1884,455,260
1885,455,640
1886,455,670
1887,455,678
1888,455,710
1889,456,309
1890,456,432
1891,456,628
1892,456,716
1893,457,147
1894,457,161
1895,457,296
1896,457,515
1897,457,562
1898,457,563
1899,458,377
1900,458,422
1901,459,113
