,monthid,method,spot,districtid
0,1.0,neighborhood,hot,103.0
1,1.0,neighborhood,hot,105.0
2,1.0,neighborhood,hot,172.0
3,1.0,neighborhood,hot,209.0
4,1.0,neighborhood,hot,215.0
5,1.0,neighborhood,hot,244.0
6,1.0,neighborhood,hot,269.0
7,1.0,neighborhood,hot,294.0
8,1.0,neighborhood,hot,322.0
9,1.0,neighborhood,hot,335.0
10,1.0,neighborhood,hot,338.0
11,1.0,neighborhood,hot,347.0
12,1.0,neighborhood,hot,375.0
13,1.0,neighborhood,hot,441.0
14,1.0,neighborhood,hot,451.0
15,1.0,neighborhood,hot,463.0
16,1.0,neighborhood,hot,484.0
17,1.0,neighborhood,hot,512.0
18,1.0,neighborhood,hot,537.0
19,1.0,neighborhood,hot,548.0
20,1.0,neighborhood,hot,549.0
21,1.0,neighborhood,hot,563.0
22,1.0,neighborhood,hot,575.0
23,1.0,neighborhood,cold,729.0
24,2.0,neighborhood,hot,102.0
25,2.0,neighborhood,hot,103.0
26,2.0,neighborhood,cold,104.0
27,2.0,neighborhood,hot,107.0
28,2.0,neighborhood,hot,109.0
29,2.0,neighborhood,cold,118.0
30,2.0,neighborhood,hot,119.0
31,2.0,neighborhood,cold,120.0
32,2.0,neighborhood,hot,123.0
33,2.0,neighborhood,hot,131.0
34,2.0,neighborhood,hot,134.0
35,2.0,neighborhood,hot,143.0
36,2.0,neighborhood,hot,152.0
37,2.0,neighborhood,hot,156.0
38,2.0,neighborhood,hot,158.0
39,2.0,neighborhood,hot,170.0
40,2.0,neighborhood,hot,172.0
41,2.0,neighborhood,cold,173.0
42,2.0,neighborhood,cold,179.0
43,2.0,neighborhood,hot,185.0
44,2.0,neighborhood,cold,200.0
45,2.0,neighborhood,cold,201.0
46,2.0,neighborhood,hot,209.0
47,2.0,neighborhood,hot,214.0
48,2.0,neighborhood,hot,215.0
49,2.0,neighborhood,hot,234.0
50,2.0,neighborhood,hot,238.0
51,2.0,neighborhood,hot,242.0
52,2.0,neighborhood,hot,244.0
53,2.0,neighborhood,cold,265.0
54,2.0,neighborhood,cold,267.0
55,2.0,neighborhood,hot,269.0
56,2.0,neighborhood,hot,272.0
57,2.0,neighborhood,hot,280.0
58,2.0,neighborhood,hot,294.0
59,2.0,neighborhood,hot,305.0
60,2.0,neighborhood,hot,306.0
61,2.0,neighborhood,hot,308.0
62,2.0,neighborhood,hot,309.0
63,2.0,neighborhood,hot,312.0
64,2.0,neighborhood,cold,319.0
65,2.0,neighborhood,hot,322.0
66,2.0,neighborhood,cold,323.0
67,2.0,neighborhood,hot,334.0
68,2.0,neighborhood,hot,335.0
69,2.0,neighborhood,hot,336.0
70,2.0,neighborhood,hot,338.0
71,2.0,neighborhood,hot,340.0
72,2.0,neighborhood,hot,347.0
73,2.0,neighborhood,hot,349.0
74,2.0,neighborhood,hot,358.0
75,2.0,neighborhood,hot,363.0
76,2.0,neighborhood,hot,366.0
77,2.0,neighborhood,hot,371.0
78,2.0,neighborhood,hot,375.0
79,2.0,neighborhood,hot,377.0
80,2.0,neighborhood,hot,379.0
81,2.0,neighborhood,hot,396.0
82,2.0,neighborhood,cold,407.0
83,2.0,neighborhood,hot,414.0
84,2.0,neighborhood,hot,417.0
85,2.0,neighborhood,hot,420.0
86,2.0,neighborhood,hot,421.0
87,2.0,neighborhood,cold,428.0
88,2.0,neighborhood,hot,429.0
89,2.0,neighborhood,cold,432.0
90,2.0,neighborhood,hot,439.0
91,2.0,neighborhood,hot,441.0
92,2.0,neighborhood,hot,450.0
93,2.0,neighborhood,hot,451.0
94,2.0,neighborhood,hot,453.0
95,2.0,neighborhood,hot,455.0
96,2.0,neighborhood,hot,463.0
97,2.0,neighborhood,hot,470.0
98,2.0,neighborhood,hot,475.0
99,2.0,neighborhood,hot,481.0
100,2.0,neighborhood,hot,484.0
101,2.0,neighborhood,hot,486.0
102,2.0,neighborhood,cold,489.0
103,2.0,neighborhood,hot,495.0
104,2.0,neighborhood,hot,498.0
105,2.0,neighborhood,cold,506.0
106,2.0,neighborhood,hot,507.0
107,2.0,neighborhood,hot,512.0
108,2.0,neighborhood,hot,529.0
109,2.0,neighborhood,cold,534.0
110,2.0,neighborhood,hot,537.0
111,2.0,neighborhood,cold,545.0
112,2.0,neighborhood,hot,548.0
113,2.0,neighborhood,hot,549.0
114,2.0,neighborhood,hot,553.0
115,2.0,neighborhood,hot,557.0
116,2.0,neighborhood,hot,563.0
117,2.0,neighborhood,hot,566.0
118,2.0,neighborhood,cold,569.0
119,2.0,neighborhood,hot,571.0
120,2.0,neighborhood,hot,575.0
121,2.0,neighborhood,cold,578.0
122,2.0,neighborhood,hot,585.0
123,2.0,neighborhood,hot,589.0
124,2.0,neighborhood,hot,604.0
125,2.0,neighborhood,hot,613.0
126,2.0,neighborhood,cold,615.0
127,2.0,neighborhood,cold,628.0
128,2.0,neighborhood,hot,638.0
129,2.0,neighborhood,hot,651.0
130,2.0,neighborhood,hot,657.0
131,2.0,neighborhood,hot,659.0
132,2.0,neighborhood,hot,660.0
133,2.0,neighborhood,hot,702.0
134,2.0,neighborhood,hot,705.0
135,2.0,neighborhood,cold,712.0
136,2.0,neighborhood,cold,713.0
137,2.0,neighborhood,hot,716.0
138,2.0,neighborhood,cold,718.0
139,2.0,neighborhood,hot,724.0
140,2.0,neighborhood,cold,729.0
141,2.0,neighborhood,hot,730.0
142,3.0,neighborhood,hot,102.0
143,3.0,neighborhood,hot,103.0
144,3.0,neighborhood,hot,107.0
145,3.0,neighborhood,hot,108.0
146,3.0,neighborhood,cold,110.0
147,3.0,neighborhood,cold,111.0
148,3.0,neighborhood,hot,114.0
149,3.0,neighborhood,cold,115.0
150,3.0,neighborhood,hot,116.0
151,3.0,neighborhood,cold,118.0
152,3.0,neighborhood,hot,119.0
153,3.0,neighborhood,cold,120.0
154,3.0,neighborhood,hot,123.0
155,3.0,neighborhood,cold,127.0
156,3.0,neighborhood,hot,129.0
157,3.0,neighborhood,cold,130.0
158,3.0,neighborhood,cold,132.0
159,3.0,neighborhood,hot,134.0
160,3.0,neighborhood,hot,142.0
161,3.0,neighborhood,hot,143.0
162,3.0,neighborhood,cold,148.0
163,3.0,neighborhood,hot,149.0
164,3.0,neighborhood,cold,153.0
165,3.0,neighborhood,hot,154.0
166,3.0,neighborhood,hot,157.0
167,3.0,neighborhood,cold,163.0
168,3.0,neighborhood,hot,166.0
169,3.0,neighborhood,hot,169.0
170,3.0,neighborhood,hot,172.0
171,3.0,neighborhood,cold,174.0
172,3.0,neighborhood,hot,176.0
173,3.0,neighborhood,hot,185.0
174,3.0,neighborhood,hot,192.0
175,3.0,neighborhood,cold,196.0
176,3.0,neighborhood,cold,199.0
177,3.0,neighborhood,cold,200.0
178,3.0,neighborhood,cold,206.0
179,3.0,neighborhood,hot,209.0
180,3.0,neighborhood,hot,211.0
181,3.0,neighborhood,cold,212.0
182,3.0,neighborhood,cold,213.0
183,3.0,neighborhood,hot,214.0
184,3.0,neighborhood,hot,215.0
185,3.0,neighborhood,cold,220.0
186,3.0,neighborhood,hot,227.0
187,3.0,neighborhood,hot,228.0
188,3.0,neighborhood,cold,230.0
189,3.0,neighborhood,cold,233.0
190,3.0,neighborhood,cold,235.0
191,3.0,neighborhood,hot,242.0
192,3.0,neighborhood,hot,243.0
193,3.0,neighborhood,hot,244.0
194,3.0,neighborhood,hot,247.0
195,3.0,neighborhood,hot,250.0
196,3.0,neighborhood,hot,252.0
197,3.0,neighborhood,hot,259.0
198,3.0,neighborhood,cold,262.0
199,3.0,neighborhood,hot,265.0
200,3.0,neighborhood,hot,267.0
201,3.0,neighborhood,cold,268.0
202,3.0,neighborhood,hot,269.0
203,3.0,neighborhood,hot,272.0
204,3.0,neighborhood,hot,274.0
205,3.0,neighborhood,cold,291.0
206,3.0,neighborhood,cold,293.0
207,3.0,neighborhood,hot,294.0
208,3.0,neighborhood,cold,297.0
209,3.0,neighborhood,hot,302.0
210,3.0,neighborhood,hot,307.0
211,3.0,neighborhood,hot,308.0
212,3.0,neighborhood,hot,315.0
213,3.0,neighborhood,hot,316.0
214,3.0,neighborhood,cold,325.0
215,3.0,neighborhood,hot,326.0
216,3.0,neighborhood,hot,327.0
217,3.0,neighborhood,hot,328.0
218,3.0,neighborhood,cold,331.0
219,3.0,neighborhood,hot,335.0
220,3.0,neighborhood,hot,336.0
221,3.0,neighborhood,cold,337.0
222,3.0,neighborhood,hot,338.0
223,3.0,neighborhood,hot,340.0
224,3.0,neighborhood,hot,341.0
225,3.0,neighborhood,hot,347.0
226,3.0,neighborhood,hot,348.0
227,3.0,neighborhood,hot,353.0
228,3.0,neighborhood,hot,357.0
229,3.0,neighborhood,cold,359.0
230,3.0,neighborhood,hot,363.0
231,3.0,neighborhood,hot,366.0
232,3.0,neighborhood,cold,367.0
233,3.0,neighborhood,cold,370.0
234,3.0,neighborhood,hot,377.0
235,3.0,neighborhood,hot,379.0
236,3.0,neighborhood,cold,381.0
237,3.0,neighborhood,cold,382.0
238,3.0,neighborhood,hot,389.0
239,3.0,neighborhood,cold,407.0
240,3.0,neighborhood,hot,409.0
241,3.0,neighborhood,hot,412.0
242,3.0,neighborhood,hot,413.0
243,3.0,neighborhood,cold,416.0
244,3.0,neighborhood,hot,419.0
245,3.0,neighborhood,hot,420.0
246,3.0,neighborhood,hot,424.0
247,3.0,neighborhood,hot,426.0
248,3.0,neighborhood,hot,428.0
249,3.0,neighborhood,hot,429.0
250,3.0,neighborhood,cold,432.0
251,3.0,neighborhood,hot,435.0
252,3.0,neighborhood,cold,436.0
253,3.0,neighborhood,cold,443.0
254,3.0,neighborhood,hot,450.0
255,3.0,neighborhood,hot,451.0
256,3.0,neighborhood,hot,454.0
257,3.0,neighborhood,hot,455.0
258,3.0,neighborhood,cold,458.0
259,3.0,neighborhood,hot,470.0
260,3.0,neighborhood,cold,473.0
261,3.0,neighborhood,hot,475.0
262,3.0,neighborhood,hot,481.0
263,3.0,neighborhood,cold,482.0
264,3.0,neighborhood,hot,484.0
265,3.0,neighborhood,hot,485.0
266,3.0,neighborhood,hot,495.0
267,3.0,neighborhood,hot,496.0
268,3.0,neighborhood,cold,506.0
269,3.0,neighborhood,hot,507.0
270,3.0,neighborhood,hot,509.0
271,3.0,neighborhood,cold,511.0
272,3.0,neighborhood,hot,520.0
273,3.0,neighborhood,hot,537.0
274,3.0,neighborhood,cold,540.0
275,3.0,neighborhood,cold,544.0
276,3.0,neighborhood,cold,545.0
277,3.0,neighborhood,cold,547.0
278,3.0,neighborhood,cold,549.0
279,3.0,neighborhood,cold,551.0
280,3.0,neighborhood,hot,553.0
281,3.0,neighborhood,cold,558.0
282,3.0,neighborhood,cold,559.0
283,3.0,neighborhood,hot,566.0
284,3.0,neighborhood,hot,574.0
285,3.0,neighborhood,hot,575.0
286,3.0,neighborhood,cold,576.0
287,3.0,neighborhood,cold,579.0
288,3.0,neighborhood,hot,585.0
289,3.0,neighborhood,cold,586.0
290,3.0,neighborhood,hot,591.0
291,3.0,neighborhood,cold,594.0
292,3.0,neighborhood,hot,597.0
293,3.0,neighborhood,cold,599.0
294,3.0,neighborhood,cold,602.0
295,3.0,neighborhood,hot,603.0
296,3.0,neighborhood,cold,604.0
297,3.0,neighborhood,cold,613.0
298,3.0,neighborhood,cold,615.0
299,3.0,neighborhood,cold,617.0
300,3.0,neighborhood,hot,618.0
301,3.0,neighborhood,cold,619.0
302,3.0,neighborhood,cold,626.0
303,3.0,neighborhood,hot,628.0
304,3.0,neighborhood,cold,632.0
