,overallid,method,spot,districtid
0,1.0,neighborhood,cold,101.0
1,1.0,neighborhood,hot,102.0
2,1.0,neighborhood,hot,103.0
3,1.0,neighborhood,hot,105.0
4,1.0,neighborhood,hot,109.0
5,1.0,neighborhood,cold,110.0
6,1.0,neighborhood,hot,113.0
7,1.0,neighborhood,cold,115.0
8,1.0,neighborhood,cold,116.0
9,1.0,neighborhood,hot,119.0
10,1.0,neighborhood,hot,122.0
11,1.0,neighborhood,cold,125.0
12,1.0,neighborhood,cold,128.0
13,1.0,neighborhood,cold,129.0
14,1.0,neighborhood,cold,131.0
15,1.0,neighborhood,hot,135.0
16,1.0,neighborhood,cold,138.0
17,1.0,neighborhood,hot,145.0
18,1.0,neighborhood,cold,148.0
19,1.0,neighborhood,hot,160.0
20,1.0,neighborhood,hot,161.0
21,1.0,neighborhood,hot,167.0
22,1.0,neighborhood,hot,168.0
23,1.0,neighborhood,hot,172.0
24,1.0,neighborhood,cold,174.0
25,1.0,neighborhood,hot,176.0
26,1.0,neighborhood,cold,182.0
27,1.0,neighborhood,hot,185.0
28,1.0,neighborhood,cold,186.0
29,1.0,neighborhood,hot,190.0
30,1.0,neighborhood,cold,191.0
31,1.0,neighborhood,cold,195.0
32,1.0,neighborhood,cold,202.0
33,1.0,neighborhood,cold,206.0
34,1.0,neighborhood,hot,209.0
35,1.0,neighborhood,hot,211.0
36,1.0,neighborhood,cold,212.0
37,1.0,neighborhood,hot,214.0
38,1.0,neighborhood,hot,215.0
39,1.0,neighborhood,cold,220.0
40,1.0,neighborhood,hot,223.0
41,1.0,neighborhood,hot,226.0
42,1.0,neighborhood,hot,228.0
43,1.0,neighborhood,hot,231.0
44,1.0,neighborhood,hot,234.0
45,1.0,neighborhood,hot,235.0
46,1.0,neighborhood,cold,238.0
47,1.0,neighborhood,hot,239.0
48,1.0,neighborhood,hot,243.0
49,1.0,neighborhood,hot,244.0
50,1.0,neighborhood,cold,245.0
51,1.0,neighborhood,cold,254.0
52,1.0,neighborhood,hot,255.0
53,1.0,neighborhood,hot,259.0
54,1.0,neighborhood,cold,262.0
55,1.0,neighborhood,hot,267.0
56,1.0,neighborhood,hot,269.0
57,1.0,neighborhood,hot,270.0
58,1.0,neighborhood,hot,272.0
59,1.0,neighborhood,hot,273.0
60,1.0,neighborhood,hot,274.0
61,1.0,neighborhood,hot,278.0
62,1.0,neighborhood,cold,283.0
63,1.0,neighborhood,cold,290.0
64,1.0,neighborhood,cold,297.0
65,1.0,neighborhood,hot,299.0
66,1.0,neighborhood,hot,305.0
67,1.0,neighborhood,cold,308.0
68,1.0,neighborhood,hot,309.0
69,1.0,neighborhood,hot,312.0
70,1.0,neighborhood,hot,315.0
71,1.0,neighborhood,cold,318.0
72,1.0,neighborhood,cold,319.0
73,1.0,neighborhood,cold,320.0
74,1.0,neighborhood,hot,322.0
75,1.0,neighborhood,cold,324.0
76,1.0,neighborhood,cold,325.0
77,1.0,neighborhood,cold,327.0
78,1.0,neighborhood,hot,328.0
79,1.0,neighborhood,cold,329.0
80,1.0,neighborhood,cold,334.0
81,1.0,neighborhood,hot,335.0
82,1.0,neighborhood,hot,336.0
83,1.0,neighborhood,hot,338.0
84,1.0,neighborhood,cold,339.0
85,1.0,neighborhood,hot,341.0
86,1.0,neighborhood,hot,343.0
87,1.0,neighborhood,hot,347.0
88,1.0,neighborhood,cold,349.0
89,1.0,neighborhood,hot,358.0
90,1.0,neighborhood,cold,359.0
91,1.0,neighborhood,cold,360.0
92,1.0,neighborhood,cold,361.0
93,1.0,neighborhood,cold,362.0
94,1.0,neighborhood,hot,363.0
95,1.0,neighborhood,hot,366.0
96,1.0,neighborhood,cold,370.0
97,1.0,neighborhood,hot,379.0
98,1.0,neighborhood,cold,380.0
99,1.0,neighborhood,cold,382.0
100,1.0,neighborhood,cold,386.0
101,1.0,neighborhood,cold,395.0
102,1.0,neighborhood,cold,398.0
103,1.0,neighborhood,hot,400.0
104,1.0,neighborhood,cold,404.0
105,1.0,neighborhood,cold,405.0
106,1.0,neighborhood,cold,407.0
107,1.0,neighborhood,cold,408.0
108,1.0,neighborhood,hot,409.0
109,1.0,neighborhood,hot,412.0
110,1.0,neighborhood,hot,413.0
111,1.0,neighborhood,cold,415.0
112,1.0,neighborhood,hot,420.0
113,1.0,neighborhood,cold,424.0
114,1.0,neighborhood,hot,429.0
115,1.0,neighborhood,cold,434.0
116,1.0,neighborhood,hot,435.0
117,1.0,neighborhood,hot,439.0
118,1.0,neighborhood,hot,441.0
119,1.0,neighborhood,cold,442.0
120,1.0,neighborhood,cold,445.0
121,1.0,neighborhood,cold,446.0
122,1.0,neighborhood,hot,450.0
123,1.0,neighborhood,hot,451.0
124,1.0,neighborhood,cold,453.0
125,1.0,neighborhood,hot,454.0
126,1.0,neighborhood,hot,455.0
127,1.0,neighborhood,cold,458.0
128,1.0,neighborhood,hot,463.0
129,1.0,neighborhood,hot,464.0
130,1.0,neighborhood,cold,466.0
131,1.0,neighborhood,cold,471.0
132,1.0,neighborhood,cold,473.0
133,1.0,neighborhood,hot,480.0
134,1.0,neighborhood,hot,481.0
135,1.0,neighborhood,cold,482.0
136,1.0,neighborhood,hot,484.0
137,1.0,neighborhood,hot,489.0
138,1.0,neighborhood,hot,490.0
139,1.0,neighborhood,hot,495.0
140,1.0,neighborhood,hot,496.0
141,1.0,neighborhood,hot,500.0
142,1.0,neighborhood,cold,506.0
143,1.0,neighborhood,cold,511.0
144,1.0,neighborhood,hot,512.0
145,1.0,neighborhood,cold,516.0
146,1.0,neighborhood,cold,518.0
147,1.0,neighborhood,cold,519.0
148,1.0,neighborhood,cold,524.0
149,1.0,neighborhood,hot,527.0
150,1.0,neighborhood,cold,528.0
151,1.0,neighborhood,hot,529.0
152,1.0,neighborhood,hot,531.0
153,1.0,neighborhood,cold,533.0
154,1.0,neighborhood,hot,536.0
155,1.0,neighborhood,hot,537.0
156,1.0,neighborhood,cold,539.0
157,1.0,neighborhood,cold,540.0
158,1.0,neighborhood,cold,542.0
159,1.0,neighborhood,cold,544.0
160,1.0,neighborhood,cold,545.0
161,1.0,neighborhood,cold,547.0
162,1.0,neighborhood,hot,548.0
163,1.0,neighborhood,hot,549.0
164,1.0,neighborhood,cold,552.0
165,1.0,neighborhood,hot,553.0
166,1.0,neighborhood,cold,556.0
167,1.0,neighborhood,hot,563.0
168,1.0,neighborhood,hot,566.0
169,1.0,neighborhood,hot,567.0
170,1.0,neighborhood,cold,569.0
171,1.0,neighborhood,cold,571.0
172,1.0,neighborhood,hot,575.0
173,1.0,neighborhood,cold,578.0
174,1.0,neighborhood,hot,585.0
175,1.0,neighborhood,cold,586.0
176,1.0,neighborhood,cold,590.0
177,1.0,neighborhood,hot,591.0
178,1.0,neighborhood,cold,594.0
179,1.0,neighborhood,cold,595.0
180,1.0,neighborhood,hot,597.0
181,1.0,neighborhood,cold,601.0
182,1.0,neighborhood,hot,613.0
183,1.0,neighborhood,cold,617.0
184,1.0,neighborhood,cold,619.0
185,1.0,neighborhood,cold,621.0
186,1.0,neighborhood,cold,625.0
187,1.0,neighborhood,cold,626.0
188,1.0,neighborhood,cold,627.0
189,1.0,neighborhood,cold,629.0
190,1.0,neighborhood,cold,632.0
191,1.0,neighborhood,cold,633.0
192,1.0,neighborhood,cold,635.0
193,1.0,neighborhood,cold,640.0
194,1.0,neighborhood,cold,641.0
195,1.0,neighborhood,cold,648.0
196,1.0,neighborhood,cold,649.0
197,1.0,neighborhood,hot,652.0
198,1.0,neighborhood,hot,653.0
199,1.0,neighborhood,cold,654.0
200,1.0,neighborhood,hot,657.0
201,1.0,neighborhood,cold,659.0
202,1.0,neighborhood,hot,660.0
203,1.0,neighborhood,cold,664.0
204,1.0,neighborhood,cold,665.0
205,1.0,neighborhood,cold,667.0
206,1.0,neighborhood,hot,672.0
207,1.0,neighborhood,hot,686.0
208,1.0,neighborhood,cold,692.0
209,1.0,neighborhood,cold,694.0
210,1.0,neighborhood,cold,695.0
211,1.0,neighborhood,hot,697.0
212,1.0,neighborhood,cold,699.0
213,1.0,neighborhood,cold,700.0
