,weekid,method,spot,districtid
0,1.0,neighborhood,hot,103.0
1,1.0,neighborhood,hot,172.0
2,1.0,neighborhood,hot,209.0
3,1.0,neighborhood,hot,215.0
4,1.0,neighborhood,hot,244.0
5,1.0,neighborhood,hot,269.0
6,1.0,neighborhood,hot,294.0
7,1.0,neighborhood,hot,322.0
8,1.0,neighborhood,hot,335.0
9,1.0,neighborhood,hot,338.0
10,1.0,neighborhood,hot,347.0
11,1.0,neighborhood,hot,375.0
12,1.0,neighborhood,hot,441.0
13,1.0,neighborhood,hot,451.0
14,1.0,neighborhood,hot,463.0
15,1.0,neighborhood,hot,484.0
16,1.0,neighborhood,hot,512.0
17,1.0,neighborhood,hot,548.0
18,1.0,neighborhood,hot,549.0
19,1.0,neighborhood,hot,563.0
20,1.0,neighborhood,cold,729.0
21,2.0,neighborhood,hot,103.0
22,2.0,neighborhood,hot,105.0
23,2.0,neighborhood,hot,172.0
24,2.0,neighborhood,hot,209.0
25,2.0,neighborhood,hot,215.0
26,2.0,neighborhood,hot,244.0
27,2.0,neighborhood,hot,269.0
28,2.0,neighborhood,hot,294.0
29,2.0,neighborhood,hot,322.0
30,2.0,neighborhood,hot,335.0
31,2.0,neighborhood,hot,338.0
32,2.0,neighborhood,hot,347.0
33,2.0,neighborhood,hot,375.0
34,2.0,neighborhood,hot,451.0
35,2.0,neighborhood,hot,463.0
36,2.0,neighborhood,hot,484.0
37,2.0,neighborhood,hot,512.0
38,2.0,neighborhood,hot,537.0
39,2.0,neighborhood,hot,548.0
40,2.0,neighborhood,hot,563.0
41,2.0,neighborhood,cold,729.0
42,3.0,neighborhood,hot,103.0
43,3.0,neighborhood,hot,172.0
44,3.0,neighborhood,hot,209.0
45,3.0,neighborhood,hot,215.0
46,3.0,neighborhood,hot,244.0
47,3.0,neighborhood,hot,269.0
48,3.0,neighborhood,hot,294.0
49,3.0,neighborhood,hot,322.0
50,3.0,neighborhood,hot,335.0
51,3.0,neighborhood,hot,338.0
52,3.0,neighborhood,hot,347.0
53,3.0,neighborhood,hot,375.0
54,3.0,neighborhood,hot,441.0
55,3.0,neighborhood,hot,451.0
56,3.0,neighborhood,hot,463.0
57,3.0,neighborhood,hot,484.0
58,3.0,neighborhood,hot,512.0
59,3.0,neighborhood,hot,529.0
60,3.0,neighborhood,hot,537.0
61,3.0,neighborhood,hot,548.0
62,3.0,neighborhood,hot,549.0
63,3.0,neighborhood,hot,563.0
64,3.0,neighborhood,hot,575.0
65,3.0,neighborhood,cold,729.0
66,4.0,neighborhood,hot,103.0
67,4.0,neighborhood,hot,172.0
68,4.0,neighborhood,hot,209.0
69,4.0,neighborhood,hot,215.0
70,4.0,neighborhood,hot,244.0
71,4.0,neighborhood,hot,269.0
72,4.0,neighborhood,hot,294.0
73,4.0,neighborhood,hot,322.0
74,4.0,neighborhood,hot,335.0
75,4.0,neighborhood,hot,347.0
76,4.0,neighborhood,hot,375.0
77,4.0,neighborhood,hot,441.0
78,4.0,neighborhood,hot,451.0
79,4.0,neighborhood,hot,463.0
80,4.0,neighborhood,hot,512.0
81,4.0,neighborhood,hot,537.0
82,4.0,neighborhood,hot,548.0
83,4.0,neighborhood,hot,549.0
84,4.0,neighborhood,hot,563.0
85,4.0,neighborhood,hot,575.0
86,4.0,neighborhood,hot,724.0
87,4.0,neighborhood,cold,729.0
88,5.0,neighborhood,hot,103.0
89,5.0,neighborhood,hot,172.0
90,5.0,neighborhood,hot,209.0
91,5.0,neighborhood,hot,215.0
92,5.0,neighborhood,hot,244.0
93,5.0,neighborhood,hot,269.0
94,5.0,neighborhood,hot,272.0
95,5.0,neighborhood,hot,294.0
96,5.0,neighborhood,hot,322.0
97,5.0,neighborhood,hot,335.0
98,5.0,neighborhood,hot,347.0
99,5.0,neighborhood,hot,375.0
100,5.0,neighborhood,hot,441.0
101,5.0,neighborhood,hot,451.0
102,5.0,neighborhood,hot,463.0
103,5.0,neighborhood,hot,512.0
104,5.0,neighborhood,hot,537.0
