,districtid,State
0,122.0,AP
1,223.0,AP
2,269.0,AP
3,312.0,AP
4,424.0,AP
5,429.0,AP
6,545.0,AP
7,589.0,AP
8,652.0,AP
9,711.0,AP
10,712.0,AP
11,718.0,AP
12,726.0,AP
13,125.0,AR
14,211.0,AR
15,271.0,AR
16,273.0,AR
17,372.0,AR
18,423.0,AR
19,431.0,AR
20,442.0,AR
21,444.0,AR
22,445.0,AR
23,447.0,AR
24,448.0,AR
25,449.0,AR
26,499.0,AR
27,518.0,AR
28,529.0,AR
29,621.0,AR
30,627.0,AR
31,665.0,AR
32,677.0,AR
33,695.0,AR
34,696.0,AR
35,697.0,AR
36,720.0,AR
37,722.0,AR
38,127.0,BR
39,130.0,BR
40,133.0,BR
41,154.0,BR
42,169.0,BR
43,176.0,BR
44,184.0,BR
45,202.0,BR
46,238.0,BR
47,267.0,BR
48,299.0,BR
49,308.0,BR
50,350.0,BR
51,354.0,BR
52,366.0,BR
53,390.0,BR
54,395.0,BR
55,405.0,BR
56,436.0,BR
57,453.0,BR
58,454.0,BR
59,486.0,BR
60,489.0,BR
61,497.0,BR
62,507.0,BR
63,537.0,BR
64,557.0,BR
65,585.0,BR
66,593.0,BR
67,598.0,BR
68,606.0,BR
69,618.0,BR
70,619.0,BR
71,638.0,BR
72,641.0,BR
73,658.0,BR
74,703.0,BR
75,716.0,BR
76,209.0,CH
77,146.0,CT
78,147.0,CT
79,148.0,CT
80,150.0,CT
81,165.0,CT
82,187.0,CT
83,190.0,CT
84,232.0,CT
85,251.0,CT
86,266.0,CT
87,296.0,CT
88,297.0,CT
89,351.0,CT
90,352.0,CT
91,365.0,CT
92,415.0,CT
93,418.0,CT
94,419.0,CT
95,457.0,CT
96,485.0,CT
97,502.0,CT
98,562.0,CT
99,563.0,CT
100,567.0,CT
101,655.0,CT
102,659.0,CT
103,662.0,CT
104,698.0,CT
105,244.0,DL
106,230.0,DN
107,235.0,DN
108,262.0,DN
109,103.0,GJ
110,118.0,GJ
111,121.0,GJ
112,128.0,GJ
113,151.0,GJ
114,179.0,GJ
115,180.0,GJ
116,194.0,GJ
117,218.0,GJ
118,231.0,GJ
119,237.0,GJ
120,248.0,GJ
121,292.0,GJ
122,302.0,GJ
123,348.0,GJ
124,364.0,GJ
125,399.0,GJ
126,433.0,GJ
127,460.0,GJ
128,476.0,GJ
129,482.0,GJ
130,503.0,GJ
131,506.0,GJ
132,526.0,GJ
133,533.0,GJ
134,544.0,GJ
135,566.0,GJ
136,590.0,GJ
137,660.0,GJ
138,661.0,GJ
139,663.0,GJ
140,702.0,GJ
141,704.0,GJ
142,191.0,HP
143,204.0,HP
144,316.0,HP
145,375.0,HP
146,403.0,HP
147,427.0,HP
148,434.0,HP
149,467.0,HP
150,622.0,HP
151,635.0,HP
152,642.0,HP
153,692.0,HP
154,114.0,HR
155,183.0,HR
156,212.0,HR
157,279.0,HR
158,282.0,HR
159,314.0,HR
160,328.0,HR
161,356.0,HR
162,362.0,HR
163,367.0,HR
164,385.0,HR
165,430.0,HR
166,459.0,HR
167,516.0,HR
168,524.0,HR
169,525.0,HR
170,527.0,HR
171,582.0,HR
172,584.0,HR
173,637.0,HR
174,645.0,HR
175,728.0,HR
176,193.0,JH
177,213.0,JH
178,246.0,JH
179,252.0,JH
180,264.0,JH
181,274.0,JH
182,295.0,JH
183,303.0,JH
184,304.0,JH
185,310.0,JH
186,326.0,JH
187,349.0,JH
188,402.0,JH
189,408.0,JH
190,438.0,JH
191,443.0,JH
192,519.0,JH
193,521.0,JH
194,573.0,JH
195,575.0,JH
196,594.0,JH
197,605.0,JH
198,631.0,JH
199,723.0,JH
200,123.0,JK
201,153.0,JK
202,158.0,JK
203,197.0,JK
204,263.0,JK
205,291.0,JK
206,347.0,JK
207,389.0,JK
208,406.0,JK
209,426.0,JK
210,428.0,JK
211,551.0,JK
212,552.0,JK
213,568.0,JK
214,572.0,JK
215,580.0,JK
216,599.0,JK
217,625.0,JK
218,653.0,JK
219,688.0,JK
220,137.0,KA
221,144.0,KA
222,170.0,KA
223,171.0,KA
224,172.0,KA
225,186.0,KA
226,203.0,KA
227,219.0,KA
228,220.0,KA
229,221.0,KA
230,234.0,KA
231,242.0,KA
232,255.0,KA
233,288.0,KA
234,323.0,KA
235,325.0,KA
236,368.0,KA
237,407.0,KA
238,410.0,KA
239,416.0,KA
240,470.0,KA
241,490.0,KA
242,560.0,KA
243,570.0,KA
244,623.0,KA
245,685.0,KA
246,689.0,KA
247,700.0,KA
248,708.0,KA
249,727.0,KA
250,108.0,KL
251,275.0,KL
252,334.0,KL
253,377.0,KL
254,387.0,KL
255,414.0,KL
256,421.0,KL
257,422.0,KL
258,463.0,KL
259,520.0,KL
260,534.0,KL
261,672.0,KL
262,675.0,KL
263,715.0,KL
264,384.0,LA
265,441.0,LA
266,104.0,MH
267,107.0,MH
268,117.0,MH
269,134.0,MH
270,168.0,MH
271,177.0,MH
272,199.0,MH
273,210.0,MH
274,258.0,MH
275,289.0,MH
276,307.0,MH
277,327.0,MH
278,343.0,MH
279,344.0,MH
280,412.0,MH
281,439.0,MH
282,484.0,MH
283,495.0,MH
284,500.0,MH
285,501.0,MH
286,505.0,MH
287,517.0,MH
288,522.0,MH
289,530.0,MH
290,553.0,MH
291,561.0,MH
292,578.0,MH
293,602.0,MH
294,607.0,MH
295,632.0,MH
296,643.0,MH
297,668.0,MH
298,713.0,MH
299,714.0,MH
300,730.0,MH
301,268.0,ML
302,270.0,ML
303,272.0,ML
304,513.0,ML
305,583.0,ML
306,647.0,ML
307,649.0,ML
308,650.0,ML
309,717.0,ML
310,719.0,ML
311,721.0,ML
312,101.0,MP
313,111.0,MP
314,126.0,MP
315,131.0,MP
316,141.0,MP
317,164.0,MP
318,173.0,MP
319,182.0,MP
320,185.0,MP
321,201.0,MP
322,216.0,MP
323,217.0,MP
324,236.0,MP
325,240.0,MP
326,249.0,MP
327,253.0,MP
328,261.0,MP
329,311.0,MP
330,315.0,MP
331,320.0,MP
332,331.0,MP
333,335.0,MP
334,336.0,MP
335,355.0,MP
336,391.0,MP
337,396.0,MP
338,397.0,MP
339,468.0,MP
340,469.0,MP
341,483.0,MP
342,504.0,MP
343,509.0,MP
344,511.0,MP
345,528.0,MP
346,564.0,MP
347,565.0,MP
348,577.0,MP
349,581.0,MP
350,591.0,MP
351,608.0,MP
352,610.0,MP
353,611.0,MP
354,613.0,MP
355,616.0,MP
356,620.0,MP
357,624.0,MP
358,629.0,MP
359,633.0,MP
360,676.0,MP
361,690.0,MP
362,691.0,MP
363,707.0,MP
364,105.0,MZ
365,207.0,MZ
366,329.0,MZ
367,398.0,MZ
368,411.0,MZ
369,440.0,MZ
370,452.0,MZ
371,466.0,MZ
372,595.0,MZ
373,596.0,MZ
374,612.0,MZ
375,259.0,NL
376,404.0,NL
377,409.0,NL
378,446.0,NL
379,479.0,NL
380,480.0,NL
381,540.0,NL
382,541.0,NL
383,684.0,NL
384,725.0,NL
385,731.0,NL
386,124.0,OR
387,142.0,OR
388,143.0,OR
389,161.0,OR
390,175.0,OR
391,195.0,OR
392,229.0,OR
393,245.0,OR
394,256.0,OR
395,290.0,OR
396,294.0,OR
397,337.0,OR
398,340.0,OR
399,360.0,OR
400,369.0,OR
401,374.0,OR
402,393.0,OR
403,394.0,OR
404,400.0,OR
405,417.0,OR
406,465.0,OR
407,474.0,OR
408,491.0,OR
409,508.0,OR
