,monthid,method,spot,districtid1,districtid2,districtid3,districtid4,districtid5
0,1.0,neighborhood,hot,724.0,172.0,660.0,347.0,450.0
1,1.0,neighborhood,cold,382.0,540.0,370.0,542.0,245.0
2,2.0,neighborhood,hot,724.0,172.0,450.0,347.0,660.0
3,2.0,neighborhood,cold,382.0,110.0,424.0,370.0,442.0
4,3.0,neighborhood,hot,172.0,185.0,450.0,660.0,244.0
5,3.0,neighborhood,cold,694.0,695.0,648.0,458.0,424.0
6,4.0,neighborhood,hot,172.0,103.0,215.0,185.0,244.0
7,4.0,neighborhood,cold,458.0,672.0,370.0,193.0,482.0
8,5.0,neighborhood,hot,660.0,185.0,103.0,435.0,244.0
9,5.0,neighborhood,cold,382.0,233.0,482.0,549.0,718.0
10,6.0,neighborhood,hot,548.0,347.0,215.0,463.0,269.0
11,6.0,neighborhood,cold,712.0,569.0,120.0,201.0,713.0
12,7.0,neighborhood,hot,244.0,279.0,101.0,102.0,103.0
13,7.0,neighborhood,cold,718.0,411.0,599.0,443.0,413.0
14,1.0,state,hot,549.0,724.0,172.0,105.0,563.0
15,1.0,state,cold,262.0,424.0,334.0,212.0,434.0
16,2.0,state,hot,549.0,724.0,172.0,563.0,537.0
17,2.0,state,cold,262.0,424.0,434.0,403.0,212.0
18,3.0,state,hot,172.0,549.0,105.0,272.0,529.0
19,3.0,state,cold,262.0,694.0,712.0,545.0,424.0
20,4.0,state,hot,215.0,549.0,103.0,172.0,634.0
21,4.0,state,cold,262.0,652.0,715.0,334.0,712.0
22,5.0,state,hot,215.0,549.0,103.0,484.0,335.0
23,5.0,state,cold,619.0,334.0,652.0,545.0,712.0
24,6.0,state,hot,215.0,575.0,103.0,335.0,548.0
25,6.0,state,cold,458.0,729.0,382.0,648.0,634.0
26,7.0,state,hot,244.0,279.0,103.0,105.0,125.0
27,7.0,state,cold,729.0,458.0,382.0,411.0,466.0
