,weekid,method,spot,districtid1,districtid2,districtid3,districtid4,districtid5
0,1.0,neighborhood,hot,724.0,172.0,347.0,660.0,244.0
1,1.0,neighborhood,cold,382.0,370.0,540.0,245.0,458.0
2,2.0,neighborhood,hot,172.0,660.0,215.0,272.0,244.0
3,2.0,neighborhood,cold,370.0,382.0,424.0,458.0,360.0
4,3.0,neighborhood,hot,172.0,717.0,724.0,244.0,660.0
5,3.0,neighborhood,cold,540.0,186.0,370.0,694.0,458.0
6,4.0,neighborhood,hot,172.0,717.0,450.0,379.0,660.0
7,4.0,neighborhood,cold,540.0,110.0,424.0,727.0,370.0
8,5.0,neighborhood,hot,172.0,480.0,450.0,312.0,660.0
9,5.0,neighborhood,cold,125.0,619.0,424.0,370.0,110.0
10,6.0,neighborhood,hot,215.0,172.0,105.0,450.0,660.0
11,6.0,neighborhood,cold,428.0,445.0,549.0,424.0,528.0
12,7.0,neighborhood,hot,172.0,272.0,660.0,480.0,450.0
13,7.0,neighborhood,cold,540.0,424.0,695.0,648.0,370.0
14,8.0,neighborhood,hot,172.0,259.0,185.0,335.0,244.0
15,8.0,neighborhood,cold,648.0,401.0,458.0,424.0,370.0
16,9.0,neighborhood,hot,172.0,185.0,244.0,660.0,272.0
17,9.0,neighborhood,cold,694.0,458.0,617.0,654.0,212.0
18,10.0,neighborhood,hot,172.0,103.0,185.0,215.0,244.0
19,10.0,neighborhood,cold,648.0,694.0,202.0,339.0,718.0
20,11.0,neighborhood,hot,172.0,103.0,244.0,215.0,540.0
21,11.0,neighborhood,cold,694.0,127.0,458.0,227.0,479.0
22,12.0,neighborhood,hot,215.0,103.0,185.0,244.0,119.0
23,12.0,neighborhood,cold,458.0,227.0,370.0,382.0,675.0
24,13.0,neighborhood,hot,103.0,211.0,336.0,660.0,215.0
25,13.0,neighborhood,cold,550.0,482.0,458.0,110.0,370.0
26,14.0,neighborhood,hot,660.0,215.0,185.0,103.0,702.0
27,14.0,neighborhood,cold,443.0,382.0,359.0,138.0,542.0
28,15.0,neighborhood,hot,660.0,103.0,185.0,215.0,274.0
29,15.0,neighborhood,cold,370.0,382.0,648.0,626.0,233.0
30,16.0,neighborhood,hot,185.0,660.0,103.0,244.0,215.0
31,16.0,neighborhood,cold,648.0,382.0,401.0,245.0,325.0
32,17.0,neighborhood,hot,103.0,185.0,244.0,336.0,660.0
33,17.0,neighborhood,cold,293.0,432.0,174.0,202.0,337.0
34,18.0,neighborhood,hot,660.0,250.0,209.0,103.0,294.0
35,18.0,neighborhood,cold,551.0,549.0,638.0,615.0,473.0
36,19.0,neighborhood,hot,215.0,660.0,244.0,103.0,336.0
37,19.0,neighborhood,cold,549.0,148.0,432.0,675.0,524.0
38,20.0,neighborhood,hot,244.0,101.0,102.0,103.0,104.0
39,20.0,neighborhood,cold,718.0,719.0,650.0,599.0,443.0
40,21.0,neighborhood,hot,244.0,101.0,102.0,103.0,104.0
41,21.0,neighborhood,cold,718.0,719.0,650.0,599.0,443.0
42,22.0,neighborhood,hot,244.0,101.0,102.0,103.0,104.0
43,22.0,neighborhood,cold,718.0,599.0,443.0,413.0,180.0
44,23.0,neighborhood,hot,244.0,101.0,102.0,103.0,104.0
45,23.0,neighborhood,cold,718.0,435.0,599.0,518.0,449.0
46,24.0,neighborhood,hot,244.0,279.0,101.0,102.0,103.0
47,24.0,neighborhood,cold,718.0,411.0,599.0,413.0,180.0
48,25.0,neighborhood,hot,244.0,279.0,101.0,102.0,103.0
49,25.0,neighborhood,cold,718.0,599.0,413.0,180.0,314.0
50,1.0,state,hot,724.0,549.0,172.0,563.0,450.0
51,1.0,state,cold,262.0,424.0,334.0,212.0,434.0
52,2.0,state,hot,549.0,409.0,172.0,563.0,724.0
53,2.0,state,cold,424.0,212.0,715.0,334.0,516.0
54,3.0,state,hot,549.0,172.0,724.0,563.0,450.0
55,3.0,state,cold,262.0,424.0,516.0,212.0,362.0
56,4.0,state,hot,549.0,172.0,563.0,450.0,537.0
57,4.0,state,cold,262.0,434.0,424.0,403.0,212.0
58,5.0,state,hot,172.0,549.0,259.0,563.0,537.0
59,5.0,state,cold,262.0,434.0,403.0,545.0,424.0
60,6.0,state,hot,105.0,549.0,172.0,537.0,563.0
61,6.0,state,cold,262.0,712.0,424.0,694.0,545.0
62,7.0,state,hot,272.0,529.0,549.0,172.0,105.0
63,7.0,state,cold,262.0,694.0,715.0,545.0,712.0
64,8.0,state,hot,172.0,272.0,529.0,549.0,642.0
65,8.0,state,cold,262.0,694.0,711.0,648.0,401.0
66,9.0,state,hot,272.0,172.0,549.0,215.0,294.0
67,9.0,state,cold,262.0,712.0,589.0,545.0,694.0
68,10.0,state,hot,549.0,172.0,215.0,294.0,529.0
69,10.0,state,cold,262.0,694.0,652.0,715.0,712.0
70,11.0,state,hot,215.0,172.0,549.0,105.0,529.0
71,11.0,state,cold,262.0,694.0,652.0,715.0,712.0
72,12.0,state,hot,549.0,215.0,103.0,413.0,185.0
73,12.0,state,cold,262.0,334.0,715.0,259.0,184.0
74,13.0,state,hot,215.0,549.0,103.0,634.0,211.0
75,13.0,state,cold,262.0,652.0,545.0,436.0,350.0
76,14.0,state,hot,215.0,211.0,105.0,103.0,314.0
77,14.0,state,cold,652.0,715.0,545.0,334.0,711.0
78,15.0,state,hot,215.0,103.0,484.0,314.0,335.0
79,15.0,state,cold,619.0,202.0,350.0,406.0,694.0
80,16.0,state,hot,215.0,103.0,484.0,496.0,335.0
81,16.0,state,cold,401.0,694.0,514.0,127.0,619.0
82,17.0,state,hot,103.0,215.0,250.0,484.0,335.0
83,17.0,state,cold,638.0,619.0,458.0,127.0,606.0
84,18.0,state,hot,250.0,103.0,215.0,294.0,484.0
85,18.0,state,cold,588.0,638.0,308.0,127.0,299.0
86,19.0,state,hot,215.0,103.0,575.0,484.0,335.0
87,19.0,state,cold,675.0,422.0,534.0,108.0,275.0
88,20.0,state,hot,244.0,103.0,104.0,105.0,106.0
89,20.0,state,cold,729.0,458.0,382.0,719.0,650.0
90,21.0,state,hot,244.0,103.0,104.0,105.0,106.0
91,21.0,state,cold,719.0,650.0,583.0,721.0,717.0
92,22.0,state,hot,244.0,103.0,104.0,105.0,106.0
93,22.0,state,cold,729.0,458.0,382.0,634.0,401.0
94,23.0,state,hot,244.0,103.0,105.0,172.0,207.0
95,23.0,state,cold,729.0,458.0,382.0,316.0,692.0
96,24.0,state,hot,244.0,279.0,103.0,105.0,125.0
97,24.0,state,cold,411.0,466.0,207.0,596.0,452.0
98,25.0,state,hot,244.0,279.0,103.0,105.0,125.0
99,25.0,state,cold,729.0,458.0,382.0,316.0,692.0
